ticker,name
BTC-USD,Bitcoin
ETH-USD,Ethereum
USDT-USD,Tether
XRP-USD,XRP
BNB-USD,BNB
USDC-USD,USDC
SOL-USD,Solana
TRX-USD,TRON
DOGE-USD,Dogecoin
FIGR_HELOC-USD,Figure Heloc
WBT-USD,WhiteBIT Coin
ADA-USD,Cardano
USDS-USD,USDS
BCH-USD,Bitcoin Cash
LEO-USD,LEO Token
HYPE-USD,Hyperliquid
CC-USD,Canton
XMR-USD,Monero
LINK-USD,Chainlink
USDE-USD,Ethena USDe
XLM-USD,Stellar
USD1-USD,USD1
RAIN-USD,Rain
HBAR-USD,Hedera
LTC-USD,Litecoin
PYUSD-USD,PayPal USD
DAI-USD,Dai
AVAX-USD,Avalanche
ZEC-USD,Zcash
SUI-USD,Sui
SHIB-USD,Shiba Inu
TON-USD,Toncoin
WLFI-USD,World Liberty Financial
CRO-USD,Cronos
XAUT-USD,Tether Gold
DOT-USD,Polkadot
M-USD,MemeCore
PAXG-USD,PAX Gold
UNI-USD,Uniswap
MNT-USD,Mantle
BUIDL-USD,BlackRock USD Institutional Digital Liquidity Fund
USYC-USD,Circle USYC
AAVE-USD,Aave
TAO-USD,Bittensor
USDF-USD,Falcon USD
USDG-USD,Global Dollar
ASTER-USD,Aster
OKB-USD,OKB
PI-USD,Pi Network
PEPE-USD,Pepe
RLUSD-USD,Ripple USD
SKY-USD,Sky
BGB-USD,Bitget Token
HTX-USD,HTX DAO
NEAR-USD,NEAR Protocol
ICP-USD,Internet Computer
ETC-USD,Ethereum Classic
BFUSD-USD,BFUSD
ONDO-USD,Ondo
POL-USD,POL (ex-MATIC)
WLD-USD,Worldcoin
USTB-USD,Superstate Short Duration U.S. Government Securities Fund (USTB)
GT-USD,Gate
KCS-USD,KuCoin
PUMP-USD,Pump.fun
NIGHT-USD,Midnight
MORPHO-USD,Morpho
ATOM-USD,Cosmos Hub
QNT-USD,Quant
HASH-USD,Provenance Blockchain
ENA-USD,Ethena
NEXO-USD,NEXO
USDTB-USD,USDtb
KAS-USD,Kaspa
FLR-USD,Flare
EUTBL-USD,Spiko EU T-Bills Money Market Fund
TRUMP-USD,Official Trump
ALGO-USD,Algorand
FIL-USD,Filecoin
USDD-USD,USDD
OUSG-USD,OUSG
APT-USD,Aptos
RENDER-USD,Render
STABLE-USD,​​Stable
JAAA-USD,Janus Henderson Anemoy AAA CLO Fund
USDY-USD,Ondo US Dollar Yield
XDC-USD,XDC Network
VET-USD,VeChain
PIPPIN-USD,pippin
BDX-USD,Beldex
ARB-USD,Arbitrum
DCR-USD,Decred
JTRSY-USD,Janus Henderson Anemoy Treasury Fund
USD0-USD,Usual USD
JUP-USD,Jupiter
BONK-USD,Bonk
